k,rg,layer,Best/Test/bpd,train_time,seed
512.0,QG,cp,3.327192307,3732.654541,13.0
512.0,QG,cp,3.324419975,3729.491455,17.0
64.0,QG,cp,3.340784788,2297.260742,13.0
64.0,QG,cp,3.341342449,2024.875488,17.0
64.0,QG,cp,3.338733912,1985.731323,1337.0
64.0,QG,cp,3.339847326,2071.094238,7331.0
16.0,QG,tucker,3.446205139,3581.970703,13.0
16.0,QG,tucker,3.44669199,3581.296143,17.0
16.0,QG,tucker,3.443775177,3587.328125,1337.0
16.0,QG,tucker,3.447107077,3627.180664,7331.0
512.0,PD,cp,3.8261985778808594,1307.189697265625,13.0
512.0,PD,cp,3.841429471969605,1305.22998046875,17.0
512.0,PD,cp,3.834957838058472,1303.0218505859375,7331.0
512.0,PD,cp,3.841860771179199,1305.1707763671875,1337.0
256.0,QG,cp,3.3265717029571533,2648.118896484375,1337.0
256.0,QG,cp,3.3256351947784424,2653.095947265625,7331.0
512.0,QG,cp,3.326472759246826,5809.82568359375,7331.0
512.0,QG,cp,3.325249671936035,5813.154296875,1337.0
32.0,QG,tucker,3.4179883003234863,5677.88037109375,13.0
32.0,QG,tucker,3.414381742477417,5652.41943359375,17.0
32.0,QG,tucker,3.417322158813477,5694.82861328125,1337.0
32.0,QG,tucker,3.4166066646575928,4986.47216796875,7331.0
64.0,QG,tucker,3.518149852752685,3528.222900390625,17.0
64.0,QG,tucker,3.5118353366851807,3620.47998046875,13.0
64.0,QG,tucker,3.517465114593506,3638.315673828125,1337.0
64.0,QG,tucker,3.5209078788757324,3796.43701171875,7331.0
128.0,RQT,cp-shared,3.581125497817993,330.1943664550781,13.0
128.0,RQT,cp-shared,3.582014560699463,287.6029357910156,17.0
128.0,RQT,cp-shared,3.589730262756348,330.9131774902344,1337.0
128.0,RQT,cp-shared,3.5823917388916016,328.0395202636719,7331.0
16.0,RQT,cp-shared,3.807242155075073,483.4146423339844,13.0
16.0,RQT,cp-shared,3.803936243057251,575.0050048828125,17.0
16.0,RQT,cp-shared,3.829854726791382,371.2659606933594,1337.0
16.0,RQT,cp-shared,3.796855211257935,561.0463256835938,7331.0
256.0,RQT,cp-shared,3.540411710739136,412.4817199707031,13.0
256.0,RQT,cp-shared,3.547463178634644,455.12396240234375,17.0
256.0,RQT,cp-shared,3.551104784011841,469.2300720214844,1337.0
256.0,RQT,cp-shared,3.5419716835021973,412.2642822265625,7331.0
32.0,RQT,cp-shared,3.726783037185669,365.6597595214844,13.0
32.0,RQT,cp-shared,3.7355082035064697,388.19671630859375,17.0
32.0,RQT,cp-shared,3.737630844116211,592.0125122070312,1337.0
32.0,RQT,cp-shared,3.74135422706604,394.6931762695313,7331.0
512.0,RQT,cp-shared,3.5206563472747803,739.6707153320312,13.0
512.0,RQT,cp-shared,3.526174068450928,788.4113159179688,17.0
512.0,RQT,cp-shared,3.5167665481567383,691.0490112304688,1337.0
512.0,RQT,cp-shared,3.5170540809631348,693.7994995117188,7331.0
64.0,RQT,cp-shared,3.649804353713989,250.39480590820312,13.0
64.0,RQT,cp-shared,3.654496669769287,284.5696716308594,17.0
64.0,RQT,cp-shared,3.638624429702759,276.2559814453125,1337.0
64.0,RQT,cp-shared,3.651641368865967,285.0638732910156,7331.0
128.0,RQT,cp,3.406949996948242,321.36572265625,13.0
128.0,RQT,cp,3.40893816947937,384.5636596679688,17.0
128.0,RQT,cp,3.4061033725738525,345.0610046386719,1337.0
128.0,RQT,cp,3.408489942550659,336.8731384277344,7331.0
16.0,RQT,cp,3.586815357208252,612.80859375,13.0
16.0,RQT,cp,3.588947296142578,570.198974609375,17.0
16.0,RQT,cp,3.590792417526245,652.8243408203125,1337.0
16.0,RQT,cp,3.5891642570495605,435.2644958496094,7331.0
256.0,RQT,cp,3.391826868057251,389.1695251464844,13.0
256.0,RQT,cp,3.392300605773926,388.1640625,17.0
256.0,RQT,cp,3.3912672996521,401.0914916992188,1337.0
256.0,RQT,cp,3.392103433609009,376.1218872070313,7331.0
32.0,RQT,cp,3.496610403060913,474.0457458496094,13.0
32.0,RQT,cp,3.4973695278167725,470.4268798828125,17.0
32.0,RQT,cp,3.498595714569092,417.1202697753906,1337.0
32.0,RQT,cp,3.497220754623413,445.4391174316406,7331.0
512.0,RQT,cp,3.3811020851135254,659.6107177734375,13.0
512.0,RQT,cp,3.381114959716797,689.765380859375,17.0
512.0,RQT,cp,3.3809077739715576,690.1406860351562,1337.0
512.0,RQT,cp,3.381787776947021,690.7639770507812,7331.0
64.0,RQT,cp,3.4413506984710693,352.94293212890625,13.0
64.0,RQT,cp,3.443426609039306,318.7867736816406,17.0
64.0,RQT,cp,3.4404516220092773,330.07012939453125,1337.0
64.0,RQT,cp,3.441614151000977,339.4931945800781,7331.0
128.0,RQT,cp-shared,3.587512255,311.3070068,43.0
16.0,RQT,cp-shared,3.810205221,590.0547485,43.0
256.0,RQT,cp-shared,3.54988265,445.3861084,43.0
32.0,RQT,cp-shared,3.742878914,556.3175049,43.0
512.0,RQT,cp-shared,3.523420334,769.0320435,43.0
64.0,RQT,cp-shared,3.643126965,278.091156,43.0
128.0,RQT,cp,3.407387257,361.7504883,43.0
16.0,RQT,cp,3.585901499,654.9389038,43.0
256.0,RQT,cp,3.389882088,393.7740173,43.0
32.0,RQT,cp,3.499691725,390.4341125,43.0
512.0,RQT,cp,3.380826473,700.7086792,43.0
64.0,RQT,cp,3.443011522,354.1272888,43.0
