k,rg,layer,Best/Test/bpd,train_time,seed
64,PD,tucker,1.370024323,806.8036499,17
16,QG,cp,1.250813127,935.5171509,17
32,QG,cp,1.212373018,1109.777588,17
64,QG,cp,1.189921618,1227.484741,17
128,QG,cp,1.178296804,1433.171021,17
256,QG,cp,1.175599098,1748.338379,17
512,QG,cp,1.178581953,3400.601074,17
16,QG,cp-shared,1.369178414,820.8146973,17
32,QG,cp-shared,1.333054304,1896.777466,17
64,QG,cp-shared,1.280472517,1563.092285,17
128,QG,cp-shared,1.245922685,1348.145874,17
256,QG,cp-shared,1.215057015,1431.995605,17
512,QG,cp-shared,1.208642125,2302.305908,17
16,QG,tucker,1.240354896,2334.937988,17
32,QG,tucker,1.220438838,3937.759766,17
64,QG,tucker,1.258147478,3619.382324,17
16,RQT,cp,1.282431126,308.3525391,17
32,RQT,cp,1.24012053,360.1013794,17
64,RQT,cp,1.215792656,313.5783081,17
128,RQT,cp,1.195793271,354.2980347,17
256,RQT,cp,1.184506893,497.5365601,17
512,RQT,cp,1.175156593,809.571106,17
16,RQT,cp-shared,1.39494741,382.505188,17
32,RQT,cp-shared,1.352874398,269.7035522,17
64,RQT,cp-shared,1.299841762,267.269928,17
128,RQT,cp-shared,1.277163863,296.984436,17
256,RQT,cp-shared,1.245890856,427.3033142,17
512,RQT,cp-shared,1.223725915,786.1035767,17
16,PD,cp,1.382851005,372.4844666,1337
32,PD,cp,1.376758695,231.8126221,1337
64,PD,cp,1.38356185,177.5379486,1337
128,PD,cp,1.380721331,213.029541,1337
256,PD,cp,1.378221512,403.3392029,1337
512,PD,cp,1.37923038,1304.717163,1337
16,PD,cp-shared,1.389526606,276.9589539,1337
32,PD,cp-shared,1.387596726,414.0027161,1337
64,PD,cp-shared,1.386064887,381.4361572,1337
128,PD,cp-shared,1.386853337,430.5427551,1337
256,PD,cp-shared,1.381465077,475.6059875,1337
512,PD,cp-shared,1.38787806,731.5537109,1337
16,PD,tucker,1.377707005,390.5233765,1337
32,PD,tucker,1.374286771,342.9619751,1337
64,PD,tucker,1.373847365,801.7670288,1337
16,QG,cp,1.247874618,1251.789185,1337
32,QG,cp,1.213613749,1095.047363,1337
64,QG,cp,1.189990401,1466.96521,1337
128,QG,cp,1.178976893,1518.081177,1337
256,QG,cp,1.178903818,1784.6875,1337
512,QG,cp,1.176597357,3318.663574,1337
16,QG,cp-shared,1.37293303,951.5442505,1337
32,QG,cp-shared,1.336439729,1420.819458,1337
64,QG,cp-shared,1.281080246,1254.958862,1337
128,QG,cp-shared,1.233329058,1139.38501,1337
256,QG,cp-shared,1.216799855,1833.297241,1337
512,QG,cp-shared,1.20464623,3177.97583,1337
16,QG,tucker,1.23383677,2922.260498,1337
32,QG,tucker,1.225730419,3908.795654,1337
64,QG,tucker,1.255434155,3785.05249,1337
16,RQT,cp,1.282438159,364.3917847,1337
32,RQT,cp,1.243118525,266.7178955,1337
64,RQT,cp,1.217074752,267.6836853,1337
128,RQT,cp,1.195328355,383.2584229,1337
256,RQT,cp,1.184129953,535.6274414,1337
512,RQT,cp,1.175692677,871.8937988,1337
16,RQT,cp-shared,1.396120787,345.1413574,1337
32,RQT,cp-shared,1.349373579,347.2159424,1337
64,RQT,cp-shared,1.306270599,251.3971405,1337
128,RQT,cp-shared,1.27962935,339.6791077,1337
256,RQT,cp-shared,1.260392427,454.5723572,1337
512,RQT,cp-shared,1.224056363,715.8911743,1337
16,PD,cp,1.380906105,428.0308838,7331
32,PD,cp,1.379155517,251.6627197,7331
64,PD,cp,1.378415704,177.9334412,7331
128,PD,cp,1.378174901,213.8077545,7331
